FIPS,NAME,pct_65plus,median_hh_income,pct_poverty,pct_uninsured
01001,"Autauga County, Alabama",15.6,68315.0,8.3,7.4
01003,"Baldwin County, Alabama",21.2,71039.0,7.0,9.3
01005,"Barbour County, Alabama",19.8,39712.0,20.8,10.7
01007,"Bibb County, Alabama",16.8,50669.0,16.3,8.4
01009,"Blount County, Alabama",18.3,57440.0,10.2,10.2
01011,"Bullock County, Alabama",16.6,36136.0,22.1,12.2
01013,"Butler County, Alabama",21.2,44429.0,17.5,11.0
01015,"Calhoun County, Alabama",17.9,54339.0,12.9,10.8
01017,"Chambers County, Alabama",19.7,48805.0,13.8,10.8
01019,"Cherokee County, Alabama",23.2,46621.0,12.3,10.2
01021,"Chilton County, Alabama",16.8,62471.0,11.2,11.5
01023,"Choctaw County, Alabama",23.3,43299.0,15.8,8.2
01025,"Clarke County, Alabama",20.4,47549.0,15.4,9.5
01027,"Clay County, Alabama",20.8,48074.0,14.3,8.1
01029,"Cleburne County, Alabama",19.6,51553.0,7.1,10.1
01031,"Coffee County, Alabama",17.1,62199.0,12.3,10.9
01033,"Colbert County, Alabama",20.0,56149.0,11.9,7.9
01035,"Conecuh County, Alabama",23.4,39888.0,11.6,8.6
01037,"Coosa County, Alabama",24.4,52279.0,8.0,6.2
01039,"Covington County, Alabama",21.7,48772.0,13.9,10.3
01041,"Crenshaw County, Alabama",19.8,48557.0,7.6,8.5
01043,"Cullman County, Alabama",18.8,58119.0,9.6,10.6
01045,"Dale County, Alabama",17.5,52813.0,13.7,10.0
01047,"Dallas County, Alabama",19.4,37180.0,21.7,9.5
01049,"DeKalb County, Alabama",17.3,47920.0,14.9,14.6
01051,"Elmore County, Alabama",15.8,73258.0,8.1,8.2
01053,"Escambia County, Alabama",18.6,41153.0,16.2,12.3
01055,"Etowah County, Alabama",19.4,52177.0,11.5,11.7
01057,"Fayette County, Alabama",21.2,45650.0,15.9,10.1
01059,"Franklin County, Alabama",17.1,47359.0,13.8,12.5
01061,"Geneva County, Alabama",20.3,47608.0,14.3,12.1
01063,"Greene County, Alabama",23.7,32796.0,26.7,13.9
01065,"Hale County, Alabama",19.7,35851.0,16.6,7.0
01067,"Henry County, Alabama",22.9,58395.0,11.8,9.6
01069,"Houston County, Alabama",18.2,55064.0,13.0,11.7
01071,"Jackson County, Alabama",20.6,46748.0,14.6,11.0
01073,"Jefferson County, Alabama",16.3,63595.0,11.0,9.0
01075,"Lamar County, Alabama",22.1,49565.0,9.1,7.8
01077,"Lauderdale County, Alabama",20.1,56081.0,9.5,9.5
01079,"Lawrence County, Alabama",18.6,54786.0,10.9,9.1
01081,"Lee County, Alabama",12.7,59288.0,9.8,8.6
01083,"Limestone County, Alabama",15.4,80146.0,7.5,8.2
01085,"Lowndes County, Alabama",19.4,33125.0,20.3,8.9
01087,"Macon County, Alabama",20.2,41206.0,20.2,11.1
01089,"Madison County, Alabama",15.4,78058.0,7.7,7.8
01091,"Marengo County, Alabama",19.9,42975.0,12.5,9.3
01093,"Marion County, Alabama",20.9,49743.0,11.3,11.0
01095,"Marshall County, Alabama",17.2,58272.0,12.3,11.1
01097,"Mobile County, Alabama",16.7,55352.0,12.6,11.3
01099,"Monroe County, Alabama",21.0,39965.0,16.4,11.0
01101,"Montgomery County, Alabama",15.6,56707.0,16.3,10.6
01103,"Morgan County, Alabama",17.9,61588.0,10.7,11.0
01105,"Perry County, Alabama",20.5,32332.0,29.3,6.6
01107,"Pickens County, Alabama",19.4,45339.0,15.8,8.5
01109,"Pike County, Alabama",15.3,42616.0,10.4,8.9
01111,"Randolph County, Alabama",20.9,49879.0,16.2,8.4
01113,"Russell County, Alabama",14.9,47420.0,16.2,11.7
01115,"St. Clair County, Alabama",17.4,73218.0,8.2,8.2
01117,"Shelby County, Alabama",16.2,90618.0,4.7,6.4
01119,"Sumter County, Alabama",18.6,31726.0,18.1,9.7
01121,"Talladega County, Alabama",18.6,52457.0,16.8,9.4
01123,"Tallapoosa County, Alabama",22.3,53282.0,14.4,9.5
01125,"Tuscaloosa County, Alabama",13.6,61645.0,11.5,6.7
01127,"Walker County, Alabama",19.6,52987.0,11.6,12.1
01129,"Washington County, Alabama",19.8,51184.0,13.9,9.2
01131,"Wilcox County, Alabama",20.8,38208.0,19.7,9.4
01133,"Winston County, Alabama",21.7,49494.0,11.9,11.3
02013,"Aleutians East Borough, Alaska",11.6,79961.0,11.7,39.7
02016,"Aleutians West Census Area, Alaska",6.3,100662.0,3.9,17.2
02020,"Anchorage Municipality, Alaska",12.0,95731.0,6.3,10.5
02050,"Bethel Census Area, Alaska",7.7,64094.0,22.7,14.0
02060,"Bristol Bay Borough, Alaska",12.6,94167.0,1.7,19.1
02063,"Chugach Census Area, Alaska",13.2,83068.0,3.7,14.7
02066,"Copper River Census Area, Alaska",17.2,70606.0,6.2,19.6
02068,"Denali Borough, Alaska",14.1,87292.0,3.3,3.0
02070,"Dillingham Census Area, Alaska",11.7,69412.0,17.7,18.1
02090,"Fairbanks North Star Borough, Alaska",11.8,81655.0,3.9,8.6
