BENE_GEO_CD,County,State,total_medicare_benes,total_power_dependent_benes,o2_services_benes,home_health_benes,hospice_benes,any_healthcare_benes
01001,Autauga,AL,11864.0,588.0,123.0,96.0,44.0,307.0
01003,Baldwin,AL,65729.0,2346.0,390.0,393.0,223.0,1171.0
01005,Barbour,AL,5934.0,298.0,106.0,68.0,22.0,218.0
01007,Bibb,AL,4977.0,237.0,77.0,70.0,55.0,235.0
01009,Blount,AL,10002.0,549.0,94.0,107.0,66.0,300.0
01011,Bullock,AL,2522.0,95.0,22.0,33.0,22.0,99.0
01013,Butler,AL,4945.0,303.0,60.0,63.0,33.0,189.0
01015,Calhoun,AL,29434.0,1733.0,379.0,380.0,99.0,946.0
01017,Chambers,AL,9123.0,528.0,79.0,68.0,22.0,202.0
01019,Cherokee,AL,6905.0,339.0,94.0,69.0,44.0,240.0
01021,Chilton,AL,9258.0,497.0,89.0,88.0,79.0,300.0
01023,Choctaw,AL,3758.0,183.0,96.0,77.0,44.0,239.0
01025,Clarke,AL,6490.0,282.0,90.0,80.0,33.0,247.0
01027,Clay,AL,3626.0,201.0,75.0,44.0,22.0,152.0
01029,Cleburne,AL,3551.0,257.0,82.0,52.0,33.0,189.0
01031,Coffee,AL,11774.0,580.0,202.0,121.0,55.0,411.0
01033,Colbert,AL,14249.0,843.0,187.0,178.0,45.0,454.0
01035,Conecuh,AL,3436.0,177.0,56.0,42.0,33.0,164.0
01037,Coosa,AL,3159.0,149.0,56.0,33.0,44.0,133.0
01039,Covington,AL,10118.0,741.0,203.0,129.0,55.0,453.0
01041,Crenshaw,AL,3765.0,265.0,108.0,88.0,66.0,273.0
01043,Cullman,AL,21062.0,1295.0,438.0,248.0,124.0,865.0
01045,Dale,AL,11745.0,692.0,179.0,93.0,55.0,371.0
01047,Dallas,AL,10134.0,375.0,136.0,66.0,44.0,301.0
01049,De Kalb,AL,15712.0,925.0,211.0,220.0,121.0,629.0
01051,Elmore,AL,20989.0,954.0,231.0,141.0,88.0,548.0
01053,Escambia,AL,8949.0,453.0,131.0,96.0,33.0,282.0
01055,Etowah,AL,27109.0,1624.0,232.0,317.0,112.0,738.0
01057,Fayette,AL,4115.0,198.0,34.0,50.0,33.0,128.0
01059,Franklin,AL,7141.0,464.0,113.0,99.0,55.0,311.0
01061,Geneva,AL,7234.0,383.0,125.0,61.0,77.0,307.0
01063,Greene,AL,2260.0,73.0,33.0,33.0,11.0,99.0
01065,Hale,AL,4387.0,164.0,55.0,45.0,22.0,144.0
01067,Henry,AL,5270.0,273.0,94.0,68.0,33.0,217.0
01069,Houston,AL,25582.0,1339.0,408.0,224.0,84.0,806.0
01071,Jackson,AL,14790.0,852.0,268.0,246.0,132.0,712.0
01073,Jefferson,AL,144783.0,5453.0,952.0,941.0,495.0,2810.0
01075,Lamar,AL,4027.0,206.0,67.0,72.0,44.0,194.0
01077,Lauderdale,AL,23626.0,1262.0,301.0,223.0,76.0,644.0
01079,Lawrence,AL,6406.0,437.0,160.0,93.0,55.0,363.0
01081,Lee,AL,29410.0,1358.0,214.0,195.0,77.0,552.0
01083,Limestone,AL,21526.0,1103.0,331.0,198.0,78.0,674.0
01085,Lowndes,AL,2923.0,97.0,44.0,44.0,0.0,110.0
01087,Macon,AL,4496.0,229.0,63.0,60.0,11.0,167.0
01089,Madison,AL,79599.0,2949.0,866.0,484.0,220.0,1761.0
01091,Marengo,AL,5265.0,219.0,90.0,80.0,44.0,258.0
01093,Marion,AL,6902.0,384.0,104.0,85.0,44.0,266.0
01095,Marshall,AL,22806.0,1353.0,198.0,243.0,93.0,622.0
01097,Mobile,AL,89914.0,4274.0,834.0,640.0,340.0,2123.0
01099,Monroe,AL,5071.0,252.0,112.0,68.0,33.0,257.0
01101,Montgomery,AL,46418.0,1811.0,432.0,288.0,132.0,1013.0
01103,Morgan,AL,28792.0,1663.0,587.0,273.0,86.0,1023.0
01105,Perry,AL,2279.0,93.0,26.0,22.0,0.0,59.0
01107,Pickens,AL,5069.0,204.0,55.0,58.0,44.0,190.0
01109,Pike,AL,7244.0,411.0,59.0,85.0,44.0,243.0
01111,Randolph,AL,6249.0,470.0,120.0,82.0,44.0,279.0
01113,Russell,AL,12165.0,585.0,185.0,96.0,55.0,394.0
01115,Saint Clair,AL,19658.0,1035.0,152.0,174.0,110.0,524.0
01117,Shelby,AL,42571.0,1511.0,232.0,251.0,148.0,741.0
01119,Sumter,AL,3048.0,137.0,69.0,55.0,33.0,190.0
01121,Talladega,AL,19932.0,1149.0,213.0,168.0,84.0,532.0
01123,Tallapoosa,AL,10974.0,605.0,155.0,110.0,33.0,331.0
01125,Tuscaloosa,AL,36007.0,1420.0,186.0,323.0,143.0,752.0
01127,Walker,AL,17058.0,900.0,212.0,201.0,110.0,578.0
01129,Washington,AL,4326.0,214.0,121.0,110.0,44.0,286.0
01131,Wilcox,AL,3362.0,117.0,60.0,66.0,33.0,214.0
01133,Winston,AL,6611.0,459.0,126.0,121.0,57.0,326.0
02013,Aleutians East,AK,161.0,22.0,0.0,0.0,0.0,0.0
02016,Aleutians West,AK,256.0,11.0,0.0,0.0,0.0,0.0
02020,Anchorage,AK,46271.0,1236.0,110.0,150.0,66.0,403.0
02050,Bethel,AK,1718.0,121.0,0.0,0.0,0.0,11.0
02060,Bristol Bay,AK,163.0,22.0,11.0,11.0,0.0,22.0
02068,Denali,AK,343.0,33.0,0.0,0.0,0.0,0.0
02070,Dillingham,AK,585.0,66.0,0.0,0.0,0.0,0.0
02090,Fairbanks North Star,AK,13703.0,398.0,44.0,44.0,33.0,143.0
02100,Haines,AK,729.0,19.0,0.0,11.0,0.0,11.0
02105,Hoonah Angoon,AK,596.0,44.0,0.0,0.0,0.0,0.0
02110,Juneau,AK,6019.0,97.0,22.0,11.0,0.0,44.0
02122,Kenai Peninsula,AK,14723.0,452.0,66.0,56.0,0.0,166.0
02130,Ketchikan Gateway,AK,2789.0,70.0,0.0,11.0,0.0,11.0
02150,Kodiak Island,AK,2059.0,64.0,11.0,0.0,0.0,11.0
02164,Lake And Peninsula,AK,204.0,11.0,0.0,0.0,0.0,0.0
02170,Matanuska Susitna,AK,19469.0,571.0,55.0,66.0,33.0,187.0
02180,Nome,AK,1004.0,66.0,0.0,11.0,0.0,11.0
02185,North Slope,AK,571.0,44.0,0.0,0.0,0.0,0.0
02188,Northwest Arctic,AK,627.0,44.0,11.0,11.0,0.0,22.0
02195,Petersburg,AK,971.0,35.0,11.0,11.0,0.0,33.0
02198,Prince Of Wales Hyder,AK,1184.0,55.0,22.0,11.0,0.0,33.0
02220,Sitka,AK,1743.0,29.0,0.0,0.0,0.0,0.0
02230,Skagway,AK,202.0,11.0,0.0,0.0,0.0,0.0
02240,Southeast Fairbanks,AK,1505.0,60.0,0.0,0.0,0.0,0.0
02261,Valdez Cordova,AK,1817.0,64.0,11.0,0.0,0.0,11.0
02270,Wade Hampton,AK,656.0,33.0,0.0,0.0,0.0,0.0
02275,Wrangell,AK,631.0,16.0,0.0,0.0,0.0,0.0
02282,Yakutat,AK,131.0,11.0,0.0,0.0,0.0,0.0
02290,Yukon Koyukuk,AK,1023.0,165.0,11.0,0.0,0.0,11.0
04001,Apache,AZ,14855.0,1150.0,475.0,121.0,88.0,794.0
04003,Cochise,AZ,38023.0,2031.0,797.0,175.0,132.0,1181.0
04005,Coconino,AZ,22984.0,1885.0,701.0,173.0,66.0,1040.0
04007,Gila,AZ,18538.0,1210.0,415.0,65.0,60.0,595.0
04009,Graham,AZ,6205.0,375.0,198.0,52.0,33.0,327.0
04011,Greenlee,AZ,1327.0,95.0,41.0,22.0,11.0,85.0
04012,La Paz,AZ,6543.0,263.0,115.0,58.0,44.0,239.0
04013,Maricopa,AZ,800777.0,29490.0,7398.0,2503.0,1307.0,12432.0
04015,Mohave,AZ,77087.0,3841.0,1604.0,239.0,143.0,2121.0
04017,Navajo,AZ,28381.0,2699.0,876.0,160.0,142.0,1321.0
04019,Pima,AZ,263999.0,9777.0,3103.0,856.0,404.0,4798.0
04021,Pinal,AZ,97344.0,3833.0,1035.0,353.0,166.0,1732.0
04023,Santa Cruz,AZ,12119.0,378.0,153.0,64.0,44.0,294.0
04025,Yavapai,AZ,95576.0,6875.0,1681.0,407.0,202.0,2422.0
04027,Yuma,AZ,45678.0,1504.0,371.0,190.0,44.0,671.0
05001,Arkansas,AR,3974.0,275.0,135.0,47.0,22.0,226.0
05003,Ashley,AR,5186.0,377.0,142.0,71.0,33.0,290.0
05005,Baxter,AR,15333.0,1183.0,361.0,200.0,50.0,633.0
05007,Benton,AR,48492.0,2546.0,572.0,289.0,110.0,1095.0
05009,Boone,AR,11253.0,815.0,256.0,82.0,22.0,393.0
05011,Bradley,AR,2459.0,185.0,57.0,39.0,22.0,129.0
05013,Calhoun,AR,1006.0,108.0,27.0,22.0,11.0,71.0
05015,Carroll,AR,7582.0,481.0,130.0,44.0,44.0,240.0
05017,Chicot,AR,2717.0,158.0,40.0,33.0,22.0,128.0
05019,Clark,AR,5243.0,343.0,88.0,48.0,44.0,213.0
05021,Clay,AR,3800.0,366.0,166.0,97.0,22.0,318.0
05023,Cleburne,AR,8558.0,571.0,192.0,95.0,66.0,386.0
05025,Cleveland,AR,1899.0,158.0,59.0,35.0,11.0,127.0
05027,Columbia,AR,5568.0,383.0,115.0,77.0,33.0,247.0
05029,Conway,AR,5315.0,377.0,110.0,96.0,55.0,305.0
05031,Craighead,AR,17136.0,1353.0,510.0,207.0,66.0,853.0
05033,Crawford,AR,15084.0,1072.0,385.0,143.0,55.0,634.0
05035,Crittenden,AR,9572.0,547.0,210.0,80.0,33.0,390.0
05037,Cross,AR,3822.0,284.0,136.0,52.0,22.0,243.0
05039,Dallas,AR,1898.0,186.0,60.0,24.0,22.0,117.0
05041,Desha,AR,2890.0,193.0,73.0,55.0,22.0,205.0
05043,Drew,AR,3712.0,296.0,88.0,52.0,11.0,173.0
05045,Faulkner,AR,23260.0,1345.0,238.0,149.0,66.0,498.0
05047,Franklin,AR,4660.0,324.0,108.0,46.0,22.0,198.0
05049,Fulton,AR,3276.0,277.0,87.0,77.0,11.0,197.0
05051,Garland,AR,35791.0,2145.0,541.0,267.0,89.0,941.0
05053,Grant,AR,4000.0,273.0,99.0,65.0,22.0,197.0
05055,Greene,AR,9763.0,835.0,315.0,106.0,33.0,465.0
05057,Hempstead,AR,4291.0,331.0,155.0,89.0,44.0,310.0
05059,Hot Spring,AR,7676.0,607.0,219.0,84.0,48.0,373.0
05061,Howard,AR,3482.0,250.0,94.0,63.0,33.0,212.0
05063,Independence,AR,8685.0,926.0,289.0,195.0,81.0,598.0
05065,Izard,AR,4364.0,360.0,131.0,116.0,66.0,346.0
05067,Jackson,AR,3317.0,339.0,109.0,68.0,11.0,210.0
05069,Jefferson,AR,15883.0,1081.0,316.0,196.0,55.0,653.0
05071,Johnson,AR,5759.0,410.0,92.0,64.0,33.0,211.0
05073,Lafayette,AR,1640.0,135.0,50.0,48.0,22.0,131.0
05075,Lawrence,AR,4835.0,454.0,209.0,133.0,22.0,397.0
05077,Lee,AR,1769.0,127.0,45.0,22.0,11.0,89.0
05079,Lincoln,AR,2255.0,224.0,55.0,46.0,33.0,167.0
05081,Little River,AR,3195.0,272.0,73.0,57.0,33.0,185.0
05083,Logan,AR,6180.0,456.0,169.0,108.0,33.0,332.0
05085,Lonoke,AR,15673.0,1015.0,263.0,143.0,68.0,507.0
05087,Madison,AR,4207.0,352.0,130.0,68.0,22.0,253.0
05089,Marion,AR,5371.0,378.0,110.0,65.0,44.0,241.0
05091,Miller,AR,9274.0,696.0,176.0,106.0,33.0,326.0
05093,Mississippi,AR,8038.0,690.0,278.0,115.0,55.0,514.0
