FIPS,County,State,vulnerability_index_dual_pct,lisa_q,lisa_p,lisa_label
13233,Polk,GA,74.16160970935803,1,0.06,ns
21023,Bracken,KY,42.19099329287767,3,0.251,ns
28153,Wayne,MS,64.72373043755988,1,0.051,ns
42001,Adams,PA,71.70233152347492,1,0.442,ns
04007,Gila,AZ,64.67582242095177,1,0.021,HH
05111,Poinsett,AR,77.29160012775472,1,0.001,HH
13231,Pike,GA,37.87927179814756,3,0.351,ns
17093,Kendall,IL,17.821782178217823,3,0.006,LL
19101,Jefferson,IA,36.28233791121048,2,0.415,ns
19095,Iowa,IA,27.754710954966463,3,0.071,ns
31143,Polk,NE,33.07250079846694,3,0.311,ns
31137,Phelps,NE,58.33599488981156,1,0.05,ns
38103,Wells,ND,38.1826892366656,3,0.042,LL
39045,Fairfield,OH,43.80389651868413,3,0.404,ns
18117,Orange,IN,35.70744171191313,3,0.082,ns
46037,Day,SD,46.35899073778346,3,0.25,ns
48125,Dickens,TX,68.18907697221334,1,0.012,HH
26137,Otsego,MI,17.13510060683488,3,0.001,LL
27029,Clearwater,MN,36.18652187799425,3,0.343,ns
40093,Major,OK,60.49185563717661,1,0.008,HH
48311,Mcmullen,TX,35.77131906739061,2,0.426,ns
06049,Modoc,CA,91.21686362184604,1,0.001,HH
17031,Cook,IL,35.29223890130949,3,0.006,LL
17075,Iroquois,IL,32.769083359948894,3,0.176,ns
28139,Tippah,MS,68.42861705525391,1,0.046,HH
27159,Wadena,MN,43.2130309805174,3,0.093,ns
30051,Liberty,MT,48.323219418716064,2,0.129,ns
29171,Putnam,MO,62.50399233471735,1,0.145,ns
48017,Bailey,TX,81.29990418396679,1,0.001,HH
08121,Washington,CO,61.945065474289365,1,0.001,HH
17189,Washington,IL,39.54008304056212,3,0.142,ns
19151,Pocahontas,IA,45.67230916640051,3,0.057,ns
19117,Lucas,IA,44.53848610667519,3,0.285,ns
21087,Green,KY,42.558288086873205,3,0.301,ns
26111,Midland,MI,30.118173107633343,3,0.024,LL
39119,Muskingum,OH,70.55253912488024,1,0.432,ns
42131,Wyoming,PA,24.57681251996167,3,0.12,ns
48139,Ellis,TX,55.74896199297349,1,0.057,ns
48003,Andrews,TX,59.374001916320665,1,0.001,HH
50015,Lamoille,VT,8.89492175023954,3,0.001,LL
46025,Clark,SD,46.26317470456723,3,0.396,ns
48317,Martin,TX,68.34877036090705,1,0.014,HH
20141,Osborne,KS,64.91536250399233,1,0.176,ns
13149,Heard,GA,55.92462472053658,1,0.14,ns
19195,Worth,IA,43.40466304694986,3,0.002,LL
21213,Simpson,KY,37.543915681890766,3,0.144,ns
28141,Tishomingo,MS,64.26061961034813,1,0.036,HH
28131,Stone,MS,79.39955285851165,1,0.001,HH
27051,Grant,MN,29.032258064516128,3,0.002,LL
31095,Jefferson,NE,48.88214627914404,2,0.368,ns
46013,Brown,SD,53.46534653465346,4,0.097,ns
01109,Pike,AL,63.81347812200575,1,0.112,ns
13217,Newton,GA,40.8655381667199,3,0.074,ns
17009,Brown,IL,50.75055892686043,1,0.416,ns
17005,Bond,IL,24.768444586394125,3,0.333,ns
19041,Clay,IA,38.725646758224215,3,0.03,LL
21211,Shelby,KY,38.19865857553498,3,0.062,ns
31115,Loup,NE,48.4669434685404,2,0.294,ns
31181,Webster,NE,69.22708399872245,1,0.006,HH
39005,Ashland,OH,34.58958799105717,3,0.018,LL
31077,Greeley,NE,55.58926860427978,1,0.088,ns
54079,Putnam,WV,73.92206962631747,1,0.003,HH
38007,Billings,ND,55.60523794314916,4,0.164,ns
48151,Fisher,TX,45.30501437240498,2,0.032,LH
48295,Lipscomb,TX,72.32513573938039,1,0.094,ns
20137,Norton,KS,63.95720217183009,1,0.088,ns
24043,Washington,MD,52.58703289683807,4,0.241,ns
28023,Clarke,MS,61.418077291600135,1,0.029,HH
28077,Lawrence,MS,62.08878952411371,1,0.001,HH
30001,Beaverhead,MT,63.95720217183009,1,0.105,ns
31007,Banner,NE,61.22644522516767,1,0.001,HH
38019,Cavalier,ND,39.188757585435965,3,0.298,ns
29145,Newton,MO,77.14787607793038,1,0.001,HH
13227,Pickens,GA,36.60172468859789,3,0.351,ns
18005,Bartholomew,IN,44.53848610667518,3,0.013,LL
19033,Cerro Gordo,IA,25.071862024912168,3,0.001,LL
21137,Lincoln,KY,53.76876397317151,1,0.245,ns
29065,Dent,MO,64.53209837112743,1,0.057,ns
13249,Schley,GA,18.300862344298945,2,0.064,ns
31035,Clay,NE,67.82178217821782,1,0.082,ns
19077,Guthrie,IA,32.40178856595337,3,0.12,ns
19001,Adair,IA,45.48067709996806,3,0.244,ns
48189,Hale,TX,79.19195145320984,1,0.001,HH
51640,Galax City,VA,47.79623123602683,2,0.208,ns
55113,Sawyer,WI,5.669115298626638,3,0.001,LL
48421,Sherman,TX,71.20728201852444,1,0.004,HH
08083,Montezuma,CO,88.64580006387736,1,0.001,HH
20147,Phillips,KS,82.06643244969658,1,0.042,HH
21053,Clinton,KY,53.9444267007346,4,0.447,ns
24001,Allegany,MD,49.7764292558288,3,0.134,ns
28107,Panola,MS,80.83679335675504,1,0.034,HH
48271,Kinney,TX,42.462472053656974,2,0.284,ns
35061,Valencia,NM,91.34461833280102,1,0.001,HH
05129,Searcy,AR,44.79399552858512,2,0.094,ns
13043,Candler,GA,52.7946343021399,1,0.084,ns
18065,Henry,IN,40.99329287767486,3,0.092,ns
19037,Chickasaw,IA,15.98530820824018,3,0.001,LL
19157,Poweshiek,IA,37.33631427658895,3,0.05,ns
26119,Montmorency,MI,20.041520281060365,3,0.001,LL
29115,Linn,MO,64.35643564356437,1,0.074,ns
38015,Burleigh,ND,37.92717981475567,3,0.223,ns
31039,Cuming,NE,50.1117853720856,2,0.31,ns
41023,Grant,OR,57.80900670712232,1,0.082,ns
46079,Lake,SD,45.04950495049505,3,0.387,ns
48415,Scurry,TX,67.80581283934845,1,0.055,ns
48069,Castro,TX,51.86841264771638,1,0.002,HH
39067,Harrison,OH,50.19163206643245,2,0.23,ns
48079,Cochran,TX,69.67422548706483,1,0.001,HH
20187,Stanton,KS,59.9009900990099,1,0.001,HH
12087,Monroe,FL,41.10507824976047,2,0.382,ns
12033,Escambia,FL,56.49952091983392,1,0.199,ns
17091,Kankakee,IL,38.74161609709358,3,0.015,LL
20119,Meade,KS,74.25742574257426,1,0.074,ns
27119,Polk,MN,58.44778026189715,4,0.123,ns
28113,Pike,MS,79.71893963589908,1,0.003,HH
27161,Waseca,MN,24.289364420313,3,0.011,LL
40025,Cimarron,OK,79.00031938677739,1,0.001,HH
30029,Flathead,MT,53.08208240178857,1,0.323,ns
49005,Cache,UT,87.86330245927817,1,0.002,HH
05079,Lincoln,AR,80.78888534014692,1,0.013,HH
13287,Turner,GA,73.23538805493453,1,0.001,HH
19127,Marshall,IA,32.44969658256149,3,0.018,LL
29215,Texas,MO,71.76620887895241,1,0.035,HH
13023,Bleckley,GA,64.43628233791121,1,0.014,HH
39055,Geauga,OH,8.68732034493772,3,0.034,LL
40053,Grant,OK,72.77227722772278,1,0.001,HH
29055,Crawford,MO,59.29415522197381,1,0.168,ns
48451,Tom Green,TX,75.8703289683807,4,0.203,ns
48393,Roberts,TX,64.89939316512297,1,0.02,HH
48075,Childress,TX,59.2462472053657,1,0.028,HH
01059,Franklin,AL,61.56180134142446,1,0.034,HH
18115,Ohio,IN,14.80357713190674,3,0.009,LL
20131,Nemaha,KS,52.34749281379752,1,0.327,ns
27133,Rock,MN,31.15618013414245,3,0.398,ns
31045,Dawes,NE,55.74896199297349,1,0.026,HH
42059,Greene,PA,54.66304694985627,1,0.329,ns
29161,Phelps,MO,61.721494730118174,1,0.142,ns
01027,Clay,AL,53.59310124560843,1,0.049,HH
17155,Putnam,IL,25.247524752475247,3,0.058,ns
18107,Montgomery,IN,38.1826892366656,3,0.043,LL
