FIPS,State,County,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,HSPNC_TOT_BENES,API_TOT_BENES,NATIND_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,NODUAL_TOT_BENES,A_B_TOT_BENES,PRSCRPTN_DRUG_TOT_BENES,dsbld_rate,dual_rate,under65_benes,ma_share
01001,AL,Autauga County,12322.0,4858.0,7464.0,10211.0,48.0,10163.0,2111.0,48.0,2063.0,5487.0,6835.0,9480.0,2393.0,129.0,85.0,,21.0,371.0,1719.0,2108.0,748.0,10214.0,11353.0,9075.0,0.171319590975491,0.1710761240058432,2111.0,0.6057458204836877
01003,AL,Baldwin County,66030.0,28091.0,37939.0,59693.0,169.0,59524.0,6337.0,117.0,6220.0,30208.0,35822.0,59112.0,3972.0,1002.0,339.0,105.0,80.0,1021.0,5236.0,6834.0,2078.0,59196.0,61770.0,53163.0,0.09597152809329093,0.10349840981372103,6337.0,0.5745721641678025
01005,AL,Barbour County,6227.0,1996.0,4231.0,5083.0,44.0,5039.0,1144.0,39.0,1105.0,2842.0,3385.0,3428.0,2644.0,31.0,22.0,,,,958.0,1853.0,737.0,4374.0,5877.0,5137.0,0.1837160751565762,0.297575076280713,958.0,0.6794604143247149
01007,AL,Bibb County,4825.0,1491.0,3334.0,3796.0,19.0,3777.0,1029.0,31.0,998.0,2257.0,2568.0,3864.0,840.0,33.0,,,,,862.0,1115.0,442.0,3710.0,4520.0,3859.0,0.2132642487046632,0.23108808290155441,862.0,0.6909844559585492
01009,AL,Blount County,12433.0,4069.0,8364.0,10512.0,40.0,10472.0,1921.0,24.0,1897.0,5740.0,6693.0,11714.0,198.0,312.0,21.0,,12.0,285.0,1624.0,2082.0,695.0,10351.0,11659.0,10339.0,0.15450816375774148,0.16745757258907745,1921.0,0.6727258103434408
01011,AL,Bullock County,2351.0,663.0,1688.0,1887.0,24.0,1863.0,464.0,23.0,441.0,1050.0,1301.0,597.0,1719.0,,,0.0,,,380.0,833.0,323.0,1518.0,2175.0,2010.0,0.19736282433007232,0.3543173117822203,380.0,0.7179923436835389
01013,AL,Butler County,4978.0,1720.0,3258.0,4021.0,22.0,3999.0,957.0,32.0,925.0,2232.0,2746.0,2933.0,1952.0,,21.0,,,,791.0,1513.0,565.0,3465.0,4669.0,4150.0,0.1922458818802732,0.303937324226597,791.0,0.6544797107271997
01015,AL,Calhoun County,28174.0,12358.0,15816.0,22944.0,118.0,22826.0,5230.0,100.0,5130.0,12566.0,15608.0,22008.0,5058.0,346.0,176.0,16.0,35.0,816.0,4379.0,5844.0,2134.0,22330.0,25883.0,21071.0,0.18563214311066942,0.20742528572442678,5230.0,0.561368637751118
01017,AL,Chambers County,9076.0,3113.0,5963.0,7186.0,69.0,7117.0,1890.0,41.0,1849.0,4026.0,5050.0,5536.0,3316.0,40.0,32.0,,11.0,276.0,1603.0,2321.0,860.0,6755.0,8499.0,7510.0,0.20824151608638167,0.255729396209784,1890.0,0.6570074922873512
01019,AL,Cherokee County,7694.0,3023.0,4671.0,6399.0,25.0,6374.0,1295.0,22.0,1273.0,3647.0,4047.0,7210.0,301.0,34.0,12.0,,,,1101.0,1569.0,472.0,6125.0,7309.0,6395.0,0.1683129711463478,0.2039251364699766,1101.0,0.6070964387834676
